DATE;BOGMBASEW
1982-02-10;166222
1982-02-17;169000
1982-02-24;167573
1982-03-03;167027
1982-03-10;164438
1982-03-17;166715
1982-03-24;167029
1982-03-31;166346
1982-04-07;166409
1982-04-14;168140
1982-04-21;170982
1982-04-28;169136
1982-05-05;169206
1982-05-12;169135
1982-05-19;170885
1982-05-26;169994
1982-06-02;171050
1982-06-09;170691
1982-06-16;172257
1982-06-23;172153
1982-06-30;171797
1982-07-07;172924
1982-07-14;173001
1982-07-21;175374
1982-07-28;172519
1982-08-04;172691
1982-08-11;173134
1982-08-18;175291
1982-08-25;174457
1982-09-01;173715
1982-09-08;173127
1982-09-15;173432
1982-09-22;174373
1982-09-29;172566
1982-10-06;173289
1982-10-13;173851
1982-10-20;177024
1982-10-27;175258
1982-11-03;175255
1982-11-10;175678
1982-11-17;178123
1982-11-24;178475
1982-12-01;178728
1982-12-08;178339
1982-12-15;179804
1982-12-22;181958
1982-12-29;182538
1983-01-05;182517
1983-01-12;179643
1983-01-19;179673
1983-01-26;176803
1983-02-02;176091
1983-02-09;175555
1983-02-16;177314
1983-02-23;178118
1983-03-02;177627
1983-03-09;175950
1983-03-16;176789
1983-03-23;178520
1983-03-30;177761
1983-04-06;178515
1983-04-13;179296
1983-04-20;181773
1983-04-27;180040
1983-05-04;180762
1983-05-11;180544
1983-05-18;181704
1983-05-25;181571
1983-06-01;182197
1983-06-08;182632
1983-06-15;182999
1983-06-22;184045
1983-06-29;183479
1983-07-06;185310
1983-07-13;184692
1983-07-20;187199
1983-07-27;184262
1983-08-03;184677
1983-08-10;184829
1983-08-17;186238
1983-08-24;186031
1983-08-31;184980
1983-09-07;185104
1983-09-14;184835
1983-09-21;186108
1983-09-28;183761
1983-10-05;184709
1983-10-12;185498
1983-10-19;187812
1983-10-26;187327
1983-11-02;186179
1983-11-09;187041
1983-11-16;189176
1983-11-23;190436
1983-11-30;190427
1983-12-07;190124
1983-12-14;190521
1983-12-21;193265
1983-12-28;193477
1984-01-04;195406
1984-01-11;193392
1984-01-18;191650
1984-01-25;189398
1984-02-01;188189
1984-02-08;186954
1984-02-15;186954
1984-02-22;186628
1984-02-29;186628
1984-03-07;188943
1984-03-14;188943
1984-03-21;188793
1984-03-28;188793
1984-04-04;191496
1984-04-11;191496
1984-04-18;192803
1984-04-25;192803
1984-05-02;192356
1984-05-09;192356
1984-05-16;192704
1984-05-23;192704
1984-05-30;193546
1984-06-06;193546
1984-06-13;196219
1984-06-20;196219
1984-06-27;196252
1984-07-04;196252
1984-07-11;198775
1984-07-18;198775
1984-07-25;196492
1984-08-01;196492
1984-08-08;197321
1984-08-15;197321
1984-08-22;195892
1984-08-29;195892
1984-09-05;198650
1984-09-12;198650
1984-09-19;197190
1984-09-26;197190
1984-10-03;198122
1984-10-10;198122
1984-10-17;197732
1984-10-24;197732
1984-10-31;198697
1984-11-07;198697
1984-11-14;200504
1984-11-21;200504
1984-11-28;202202
1984-12-05;202202
1984-12-12;203861
1984-12-19;203861
1984-12-26;207010
1985-01-02;207010
1985-01-09;206195
1985-01-16;206195
1985-01-23;199865
1985-01-30;199865
1985-02-06;199639
1985-02-13;199639
1985-02-20;200566
1985-02-27;200566
1985-03-06;203036
1985-03-13;203036
1985-03-20;201910
1985-03-27;201910
1985-04-03;204524
1985-04-10;204524
1985-04-17;206216
1985-04-24;206216
1985-05-01;205512
1985-05-08;205512
1985-05-15;206308
1985-05-22;206308
1985-05-29;208336
1985-06-05;208336
1985-06-12;210756
1985-06-19;210756
1985-06-26;210476
1985-07-03;210476
1985-07-10;213923
1985-07-17;213923
1985-07-24;211019
1985-07-31;211019
1985-08-07;213061
1985-08-14;213061
1985-08-21;212087
1985-08-28;212087
1985-09-04;214929
1985-09-11;214929
1985-09-18;214404
1985-09-25;214404
1985-10-02;214868
1985-10-09;214868
1985-10-16;216436
1985-10-23;216436
1985-10-30;216512
1985-11-06;216512
1985-11-13;219354
1985-11-20;219354
1985-11-27;221492
1985-12-04;221492
1985-12-11;224155
1985-12-18;224155
1985-12-25;226328
1986-01-01;226328
1986-01-08;225727
1986-01-15;225727
1986-01-22;218094
1986-01-29;218094
1986-02-05;216402
1986-02-12;216402
1986-02-19;218479
1986-02-26;218479
1986-03-05;220871
1986-03-12;220871
1986-03-19;220873
1986-03-26;220873
1986-04-02;223869
1986-04-09;223869
1986-04-16;225865
1986-04-23;225865
1986-04-30;224996
1986-05-07;224996
1986-05-14;225993
1986-05-21;225993
1986-05-28;228025
1986-06-04;228025
1986-06-11;230844
1986-06-18;230844
1986-06-25;230026
1986-07-02;230026
1986-07-09;234569
1986-07-16;234569
1986-07-23;231834
1986-07-30;231834
1986-08-06;233076
1986-08-13;233076
1986-08-20;232752
1986-08-27;232752
1986-09-03;235456
1986-09-10;235456
1986-09-17;234996
1986-09-24;234996
1986-10-01;234802
1986-10-08;234802
1986-10-15;237716
1986-10-22;237716
1986-10-29;237857
1986-11-05;237857
1986-11-12;242023
1986-11-19;242023
1986-11-26;243726
1986-12-03;243726
1986-12-10;246588
1986-12-17;246588
1986-12-24;251712
1986-12-31;251712
1987-01-07;251201
1987-01-14;251201
1987-01-21;243836
1987-01-28;243836
1987-02-04;241860
1987-02-11;241860
1987-02-18;242518
1987-02-25;242518
1987-03-04;244329
1987-03-11;244329
1987-03-18;244367
1987-03-25;244367
1987-04-01;246542
1987-04-08;246542
1987-04-15;251194
1987-04-22;251194
1987-04-29;249789
1987-05-06;249789
1987-05-13;250226
1987-05-20;250226
1987-05-27;251500
1987-06-03;251500
1987-06-10;253977
1987-06-17;253977
1987-06-24;251969
1987-07-01;251969
1987-07-08;256368
1987-07-15;256368
1987-07-22;253443
1987-07-29;253443
1987-08-05;254775
1987-08-12;254775
1987-08-19;254000
1987-08-26;254000
1987-09-02;255606
1987-09-09;255606
1987-09-16;256930
1987-09-23;256930
1987-09-30;255751
1987-10-07;255751
1987-10-14;257722
1987-10-21;257722
1987-10-28;260311
1987-11-04;260311
1987-11-11;262144
1987-11-18;262144
1987-11-25;263291
1987-12-02;263291
1987-12-09;266312
1987-12-16;266312
1987-12-23;267732
1987-12-30;267732
1988-01-06;270034
1988-01-13;270034
1988-01-20;264535
1988-01-27;264535
1988-02-03;259968
1988-02-10;259968
1988-02-17;260815
1988-02-24;260815
1988-03-02;261984
1988-03-09;261984
1988-03-16;263089
1988-03-23;263089
1988-03-30;265492
1988-04-06;265492
1988-04-13;269876
1988-04-20;269876
1988-04-27;268223
1988-05-04;268223
1988-05-11;268955
1988-05-18;268955
1988-05-25;268866
1988-06-01;268866
1988-06-08;273844
1988-06-15;273844
1988-06-22;272316
1988-06-29;272316
1988-07-06;277328
1988-07-13;277328
1988-07-20;274644
1988-07-27;274644
1988-08-03;275158
1988-08-10;275158
1988-08-17;274469
1988-08-24;274469
1988-08-31;274987
1988-09-07;274987
1988-09-14;276159
1988-09-21;276159
1988-09-28;273979
1988-10-05;273979
1988-10-12;276169
1988-10-19;276169
1988-10-26;275200
1988-11-02;275200
1988-11-09;279866
1988-11-16;279866
1988-11-23;279018
1988-11-30;279018
1988-12-07;282660
1988-12-14;282660
1988-12-21;284123
1988-12-28;284123
1989-01-04;287506
1989-01-11;287506
1989-01-18;281381
1989-01-25;281381
1989-02-01;274205
1989-02-08;274205
1989-02-15;274971
1989-02-22;274971
1989-03-01;277391
1989-03-08;277391
1989-03-15;279119
1989-03-22;279119
1989-03-29;279514
1989-04-05;279514
1989-04-12;282520
1989-04-19;282520
